round,steps,coins_collected,bombs_dropped,crates_destroyed,killed_self,invalid_actions,total_reward,epsilon
1,5,0,1,1,1,0,-11.0,1.0
2,5,0,1,1,1,0,-11.5,1.0
3,5,0,1,1,1,0,-12.0,1.0
4,12,0,1,1,1,0,-13.5,1.0
5,5,0,1,1,1,0,-11.5,1.0
6,8,0,1,1,1,0,-12.5,1.0
7,9,0,1,1,1,0,-13.0,1.0
8,6,0,1,1,1,0,-10.0,1.0
9,5,0,1,1,1,0,-11.0,1.0
10,26,0,3,2,1,0,-20.0,1.0
11,5,0,1,1,1,0,-11.5,1.0
12,7,0,1,1,1,0,-10.5,1.0
13,6,0,1,1,1,0,-9.5,1.0
14,7,0,1,1,1,0,-11.5,1.0
15,8,0,1,1,1,0,-13.5,1.0
16,7,0,1,1,1,0,-10.5,1.0
17,36,1,3,3,1,0,-4.5,1.0
18,14,0,1,1,1,0,-13.0,1.0
19,9,0,1,1,1,0,-13.0,1.0
20,5,0,1,1,1,0,-11.5,1.0
21,6,0,1,1,1,0,-11.5,1.0
22,12,0,1,1,1,0,-13.5,1.0
23,6,0,1,1,1,0,-12.0,1.0
24,9,0,1,1,1,0,-10.5,1.0
25,21,0,2,2,1,0,-14.0,1.0
26,8,0,1,1,1,0,-11.5,1.0
27,5,0,1,1,1,0,-11.5,1.0
28,7,0,1,1,1,0,-11.5,1.0
29,13,0,2,2,1,0,-12.0,1.0
30,9,0,1,1,1,0,-10.0,1.0
31,5,0,1,1,1,0,-11.5,1.0
32,6,0,1,1,1,0,-9.5,1.0
33,17,0,1,1,1,0,-11.5,1.0
34,8,0,1,1,1,0,-10.0,1.0
35,5,0,1,1,1,0,-11.5,1.0
36,6,0,1,1,1,0,-13.0,1.0
37,11,0,1,1,1,0,-14.5,1.0
38,5,0,1,1,1,0,-11.5,1.0
39,39,0,2,2,1,0,-25.0,1.0
40,6,0,1,1,1,0,-12.5,1.0
41,20,0,2,2,1,0,-17.5,1.0
42,7,0,1,1,1,0,-12.5,1.0
43,8,0,1,1,1,0,-11.5,1.0
44,6,0,1,1,1,0,-12.5,1.0
45,5,0,1,1,1,0,-11.0,1.0
46,5,0,1,1,1,0,-10.5,1.0
47,6,0,1,1,1,0,-9.5,1.0
48,5,0,1,1,1,0,-11.0,1.0
49,6,0,1,0,1,0,-11.0,1.0
50,8,0,1,1,1,0,-11.0,1.0
51,5,0,1,1,1,0,-12.0,1.0
52,8,0,1,0,1,0,-13.0,1.0
53,6,0,1,1,1,0,-9.5,1.0
54,7,0,1,1,1,0,-11.0,1.0
55,6,0,1,1,1,0,-12.0,1.0
56,8,0,1,1,1,0,-10.0,1.0
57,17,0,1,1,1,0,-14.5,1.0
58,13,0,1,1,1,0,-14.0,1.0
59,11,0,1,1,1,0,-13.0,1.0
60,6,0,1,1,1,0,-11.5,1.0
61,7,0,1,1,1,0,-13.5,1.0
62,18,0,2,1,1,0,-17.0,1.0
63,8,0,1,1,1,0,-11.5,1.0
64,9,0,1,1,1,0,-13.0,1.0
65,8,0,1,1,1,0,-11.5,1.0
66,10,0,1,1,1,0,-12.0,1.0
67,6,0,1,1,1,0,-12.0,1.0
68,5,0,1,1,1,0,-11.0,1.0
69,10,0,1,1,1,0,-14.5,1.0
70,15,0,1,1,1,0,-15.0,1.0
71,18,1,2,2,1,0,1.0,1.0
72,5,0,1,1,1,0,-11.0,1.0
73,9,0,1,1,1,0,-12.5,1.0
74,5,0,1,1,1,0,-11.0,1.0
75,6,0,1,1,1,0,-10.0,1.0
76,10,0,1,1,1,0,-9.5,1.0
77,18,0,1,1,1,0,-15.5,1.0
78,6,0,1,1,1,0,-9.5,1.0
79,5,0,1,1,1,0,-12.0,1.0
80,12,0,1,1,1,0,-14.5,1.0
81,5,0,1,1,1,0,-12.0,1.0
82,5,0,1,1,1,0,-11.5,1.0
83,27,0,1,1,1,0,-21.0,1.0
84,20,0,1,1,1,0,-16.0,1.0
85,21,0,2,2,1,0,-17.0,1.0
86,6,0,1,1,1,0,-12.0,1.0
87,7,0,1,1,1,0,-11.0,1.0
88,28,0,3,2,1,0,-20.5,1.0
89,8,0,1,1,1,0,-11.5,1.0
90,39,0,3,2,1,0,-19.0,1.0
91,5,0,1,1,1,0,-11.0,1.0
92,16,0,2,2,1,0,-13.0,1.0
93,5,0,1,1,1,0,-12.0,1.0
94,19,0,2,2,1,0,-10.0,1.0
95,7,0,1,1,1,0,-10.5,1.0
96,6,0,1,1,1,0,-12.0,1.0
97,8,0,1,1,1,0,-12.0,1.0
98,5,0,1,1,1,0,-11.5,1.0
99,5,0,1,1,1,0,-11.5,1.0
100,17,0,2,2,1,0,-14.5,1.0
101,5,0,1,1,1,0,-11.5,0.999
102,6,0,1,1,1,0,-9.5,0.998
103,6,0,1,1,1,0,-12.5,0.997
104,5,0,1,1,1,0,-12.5,0.996
105,5,0,1,1,1,0,-11.0,0.995
106,6,0,1,1,1,0,-12.5,0.994
107,5,0,1,1,1,0,-11.0,0.993
108,5,0,1,1,1,0,-11.0,0.992
109,5,0,1,1,1,0,-12.0,0.991
110,7,0,1,1,1,0,-11.0,0.99
111,5,0,1,1,1,0,-12.5,0.9891
112,13,0,2,2,1,0,-12.5,0.9881
113,6,0,1,1,1,0,-12.5,0.9871
114,11,0,1,1,1,0,-15.0,0.9861
115,6,0,1,1,1,0,-10.0,0.9851
116,25,0,3,3,1,0,-14.0,0.9841
117,10,0,1,1,1,0,-12.0,0.9831
118,17,0,2,2,1,0,-17.5,0.9822
119,10,0,1,1,1,0,-11.5,0.9812
120,6,0,1,1,1,0,-10.5,0.9802
121,26,0,2,2,1,0,-16.0,0.9792
122,6,0,1,1,1,0,-9.5,0.9782
123,15,0,2,2,1,0,-14.5,0.9773
124,6,0,1,1,1,0,-12.0,0.9763
125,5,0,1,1,1,0,-11.0,0.9753
126,8,0,1,1,1,0,-13.0,0.9743
127,6,0,1,1,1,0,-12.5,0.9733
128,8,0,1,1,1,0,-14.0,0.9724
129,7,0,1,1,1,0,-13.0,0.9714
130,12,0,1,1,1,0,-14.5,0.9704
131,20,0,2,2,1,0,-15.5,0.9695
132,9,0,1,1,1,0,-13.5,0.9685
133,5,0,1,1,1,0,-11.0,0.9675
134,7,0,1,1,1,0,-11.5,0.9666
135,20,0,1,1,1,0,-14.0,0.9656
136,8,0,1,1,1,0,-13.5,0.9646
137,7,0,1,1,1,0,-10.0,0.9637
138,6,0,1,1,1,0,-11.5,0.9627
139,31,0,2,2,1,0,-22.5,0.9617
140,7,0,1,1,1,0,-11.0,0.9608
141,21,0,2,2,1,0,-16.0,0.9598
142,5,0,1,1,1,0,-12.0,0.9588
143,7,0,1,1,1,0,-10.5,0.9579
144,5,0,1,1,1,0,-12.0,0.9569
145,7,0,1,1,1,0,-11.0,0.956
146,7,0,1,1,1,0,-11.0,0.955
147,14,0,2,2,1,0,-12.5,0.9541
148,24,0,2,2,1,0,-17.5,0.9531
149,7,0,1,1,1,0,-12.5,0.9522
150,7,0,1,1,1,0,-13.0,0.9512
151,18,0,1,1,1,0,-15.5,0.9503
152,6,0,1,1,1,0,-9.5,0.9493
153,15,0,2,2,1,0,-16.0,0.9484
154,9,0,1,1,1,0,-11.0,0.9474
155,7,0,1,1,1,0,-10.5,0.9465
156,7,0,1,1,1,0,-11.0,0.9455
157,6,0,1,1,1,0,-9.5,0.9446
158,8,0,1,1,1,0,-11.5,0.9436
159,11,0,1,1,1,0,-15.0,0.9427
160,12,0,1,1,1,0,-18.5,0.9417
161,6,0,1,1,1,0,-10.0,0.9408
162,15,0,2,2,1,0,-16.5,0.9399
163,6,0,1,1,1,0,-13.5,0.9389
164,5,0,1,1,1,0,-11.0,0.938
165,5,0,1,1,1,0,-11.5,0.937
166,7,0,1,1,1,0,-12.5,0.9361
167,18,0,2,2,1,0,-17.5,0.9352
168,16,0,2,2,1,0,-14.0,0.9342
169,9,0,1,1,1,0,-10.5,0.9333
170,6,0,1,1,1,0,-13.0,0.9324
171,5,0,1,1,1,0,-10.5,0.9314
172,6,0,1,1,1,0,-9.5,0.9305
173,5,0,1,1,1,0,-12.0,0.9296
174,5,0,1,1,1,0,-12.0,0.9286
175,9,0,1,1,1,0,-12.5,0.9277
176,6,0,1,1,1,0,-12.5,0.9268
177,6,0,1,1,1,0,-9.5,0.9259
178,8,0,1,1,1,0,-12.0,0.9249
179,7,0,1,1,1,0,-12.5,0.924
180,5,0,1,1,1,0,-11.0,0.9231
181,7,0,1,1,1,0,-12.5,0.9222
182,7,0,1,1,1,0,-11.5,0.9212
183,5,0,1,1,1,0,-10.5,0.9203
184,8,0,1,1,1,0,-12.0,0.9194
185,15,0,1,1,1,0,-14.5,0.9185
186,7,0,1,1,1,0,-13.5,0.9176
187,7,0,1,1,1,0,-13.5,0.9166
188,5,0,1,1,1,0,-11.0,0.9157
189,7,0,1,1,1,0,-10.5,0.9148
190,32,0,3,2,1,0,-17.0,0.9139
191,9,0,1,1,1,0,-14.5,0.913
192,13,0,2,2,1,0,-10.0,0.9121
193,8,0,1,1,1,0,-12.5,0.9112
194,5,0,1,1,1,0,-11.5,0.9102
195,7,0,1,1,1,0,-11.0,0.9093
196,10,0,1,1,1,0,-13.5,0.9084
197,7,0,1,1,1,0,-9.0,0.9075
198,11,0,1,1,1,0,-14.5,0.9066
199,10,0,1,1,1,0,-14.0,0.9057
200,39,0,2,2,1,0,-21.0,0.9048
201,5,0,1,1,1,0,-12.0,0.9039
202,11,0,1,1,1,0,-14.5,0.903
203,6,0,1,1,1,0,-11.5,0.9021
204,5,0,1,1,1,0,-11.5,0.9012
205,8,0,1,1,1,0,-12.0,0.9003
206,9,0,1,1,1,0,-11.0,0.8994
207,9,0,1,1,1,0,-12.5,0.8985
208,9,0,1,1,1,0,-13.0,0.8976
209,24,0,2,2,1,0,-15.0,0.8967
210,18,0,2,2,1,0,-13.5,0.8958
211,8,0,1,1,1,0,-13.0,0.8949
212,5,0,1,1,1,0,-11.0,0.894
213,7,0,1,1,1,0,-11.5,0.8931
214,8,0,1,1,1,0,-11.5,0.8922
215,6,0,1,1,1,0,-11.5,0.8913
216,21,0,1,1,1,0,-16.5,0.8904
217,5,0,1,1,1,0,-12.0,0.8895
218,7,0,1,1,1,0,-11.0,0.8886
219,5,0,1,1,1,0,-11.5,0.8878
220,5,0,1,1,1,0,-11.5,0.8869
221,31,0,3,2,1,0,-17.5,0.886
222,5,0,1,1,1,0,-11.5,0.8851
223,6,0,1,1,1,0,-9.5,0.8842
224,11,0,1,1,1,0,-12.5,0.8833
225,6,0,1,1,1,0,-13.0,0.8824
226,5,0,1,1,1,0,-11.0,0.8816
227,9,0,1,1,1,0,-12.5,0.8807
228,7,0,1,1,1,0,-10.5,0.8798
229,6,0,1,1,1,0,-13.0,0.8789
230,17,0,2,2,1,0,-15.0,0.878
231,5,0,1,1,1,0,-10.5,0.8772
232,7,0,1,1,1,0,-11.5,0.8763
233,6,0,1,1,1,0,-12.0,0.8754
234,8,0,1,1,1,0,-11.5,0.8745
235,8,0,1,1,1,0,-9.5,0.8737
236,5,0,1,1,1,0,-11.0,0.8728
237,5,0,1,1,1,0,-11.0,0.8719
238,21,0,3,2,1,0,-18.5,0.871
239,32,0,4,4,1,0,-12.5,0.8702
240,5,0,1,1,1,0,-11.0,0.8693
241,7,0,1,1,1,0,-11.5,0.8684
242,8,0,1,1,1,0,-9.5,0.8676
243,5,0,1,1,1,0,-9.5,0.8667
244,8,0,1,1,1,0,-13.5,0.8658
245,7,0,1,1,1,0,-11.5,0.865
246,6,0,1,1,1,0,-12.0,0.8641
247,9,0,1,1,1,0,-11.5,0.8632
248,6,0,1,1,1,0,-10.0,0.8624
249,16,0,2,2,1,0,-17.0,0.8615
250,6,0,1,1,1,0,-9.5,0.8606
251,7,0,1,1,1,0,-13.0,0.8598
252,7,0,1,1,1,0,-11.0,0.8589
253,5,0,1,1,1,0,-11.0,0.8581
254,15,0,1,1,1,0,-15.0,0.8572
255,12,0,1,1,1,0,-12.0,0.8563
256,13,0,1,1,1,0,-14.5,0.8555
257,13,0,1,1,1,0,-13.0,0.8546
258,6,0,1,1,1,0,-12.0,0.8538
259,13,0,1,1,1,0,-13.5,0.8529
260,6,0,1,1,1,0,-12.0,0.8521
261,9,0,1,1,1,0,-10.0,0.8512
262,8,0,1,1,1,0,-9.5,0.8504
263,5,0,1,1,1,0,-11.0,0.8495
264,7,0,1,1,1,0,-11.0,0.8487
265,10,0,1,1,1,0,-12.0,0.8478
266,25,0,3,3,1,0,-13.0,0.847
267,6,0,1,1,1,0,-10.0,0.8461
268,18,0,2,1,1,0,-16.5,0.8453
269,5,0,1,1,1,0,-12.0,0.8444
270,13,0,1,1,1,0,-11.0,0.8436
271,8,0,1,1,1,0,-11.5,0.8427
272,8,0,1,1,1,0,-12.0,0.8419
273,5,0,1,1,1,0,-10.0,0.8411
274,7,0,1,1,1,0,-11.5,0.8402
275,5,0,1,1,1,0,-11.5,0.8394
276,6,0,1,0,1,0,-11.0,0.8385
277,10,0,1,1,1,0,-15.0,0.8377
278,5,0,1,1,1,0,-11.5,0.8369
279,19,0,2,2,1,0,-15.5,0.836
280,10,0,1,1,1,0,-13.5,0.8352
281,7,0,1,1,1,0,-10.5,0.8344
282,7,0,1,1,1,0,-11.0,0.8335
283,10,0,1,1,1,0,-9.5,0.8327
284,32,1,3,3,1,0,0.5,0.8319
285,5,0,1,1,1,0,-10.0,0.831
286,7,0,1,1,1,0,-13.0,0.8302
287,10,0,1,1,1,0,-10.0,0.8294
288,20,0,1,1,1,0,-18.0,0.8285
289,11,0,1,1,1,0,-11.5,0.8277
290,14,0,2,2,1,0,-11.0,0.8269
291,11,0,1,1,1,0,-15.0,0.8261
292,5,0,1,1,1,0,-10.5,0.8252
293,6,0,1,1,1,0,-10.5,0.8244
294,5,0,1,1,1,0,-11.0,0.8236
295,14,0,1,1,1,0,-12.5,0.8228
296,14,0,1,1,1,0,-17.0,0.8219
297,9,0,1,1,1,0,-10.0,0.8211
298,6,0,1,1,1,0,-12.5,0.8203
299,22,0,3,3,1,0,-13.0,0.8195
300,5,0,1,1,1,0,-11.0,0.8186
301,9,0,1,1,1,0,-13.5,0.8178
302,14,0,1,1,1,0,-15.0,0.817
303,10,0,1,1,1,0,-11.5,0.8162
304,11,0,1,1,1,0,-15.0,0.8154
305,21,0,1,1,1,0,-15.0,0.8146
306,5,0,1,1,1,0,-11.5,0.8137
307,28,0,1,1,1,0,-20.0,0.8129
308,5,0,1,1,1,0,-11.0,0.8121
309,25,0,3,3,1,0,-16.5,0.8113
310,5,0,1,1,1,0,-12.0,0.8105
311,5,0,1,1,1,0,-11.5,0.8097
312,51,0,5,4,1,0,-21.0,0.8089
313,5,0,1,1,1,0,-11.0,0.8081
314,8,0,1,1,1,0,-12.0,0.8073
315,5,0,1,1,1,0,-11.5,0.8065
316,9,0,1,1,1,0,-14.5,0.8056
317,9,0,1,1,1,0,-11.5,0.8048
318,5,0,1,1,1,0,-12.0,0.804
319,6,0,1,1,1,0,-11.5,0.8032
320,11,0,1,1,1,0,-15.0,0.8024
321,6,0,1,1,1,0,-12.0,0.8016
322,13,0,1,1,1,0,-14.5,0.8008
323,5,0,1,1,1,0,-12.0,0.8
324,6,0,1,1,1,0,-10.5,0.7992
325,11,0,1,1,1,0,-11.0,0.7984
326,5,0,1,1,1,0,-10.0,0.7976
327,15,0,2,2,1,0,-12.5,0.7968
328,5,0,1,1,1,0,-11.0,0.796
329,8,0,1,1,1,0,-12.0,0.7952
330,9,0,1,1,1,0,-12.0,0.7944
331,8,0,1,1,1,0,-12.0,0.7936
332,5,0,1,1,1,0,-11.5,0.7929
333,7,0,1,1,1,0,-12.0,0.7921
334,8,0,1,1,1,0,-14.5,0.7913
335,6,0,1,1,1,0,-12.0,0.7905
336,9,0,1,1,1,0,-15.0,0.7897
337,5,0,1,1,1,0,-11.0,0.7889
338,6,0,1,1,1,0,-12.0,0.7881
339,9,0,1,1,1,0,-10.5,0.7873
340,34,0,3,2,1,0,-20.0,0.7865
341,23,0,3,2,1,0,-17.0,0.7857
342,26,1,2,2,1,0,2.0,0.785
343,8,0,1,1,1,0,-12.0,0.7842
344,24,0,2,1,1,0,-18.5,0.7834
345,16,0,2,2,1,0,-12.0,0.7826
346,8,0,1,1,1,0,-13.5,0.7818
347,5,0,1,1,1,0,-11.0,0.781
348,5,0,1,1,1,0,-11.5,0.7803
349,6,0,1,1,1,0,-9.5,0.7795
350,10,0,1,1,1,0,-12.0,0.7787
351,5,0,1,1,1,0,-11.0,0.7779
352,21,0,2,2,1,0,-19.0,0.7771
353,10,0,1,1,1,0,-15.0,0.7764
354,5,0,1,1,1,0,-11.5,0.7756
355,10,0,1,1,1,0,-12.5,0.7748
356,44,0,4,3,1,0,-20.0,0.774
357,5,0,1,1,1,0,-12.0,0.7733
358,26,1,3,3,1,0,1.0,0.7725
359,10,0,1,1,1,0,-12.0,0.7717
360,13,0,1,1,1,0,-9.0,0.771
361,7,0,1,1,1,0,-11.0,0.7702
362,22,0,3,3,1,0,-16.0,0.7694
363,5,0,1,1,1,0,-11.5,0.7686
364,6,0,1,1,1,0,-12.0,0.7679
365,7,0,1,1,1,0,-13.0,0.7671
366,7,0,1,1,1,0,-10.5,0.7663
367,5,0,1,1,1,0,-11.0,0.7656
368,25,0,2,1,1,0,-22.0,0.7648
369,11,0,1,1,1,0,-13.5,0.764
370,12,0,1,1,1,0,-11.5,0.7633
371,11,0,1,1,1,0,-9.0,0.7625
372,7,0,1,1,1,0,-11.5,0.7618
373,10,0,1,1,1,0,-12.5,0.761
374,9,0,1,1,1,0,-10.5,0.7602
375,12,0,1,1,1,0,-14.0,0.7595
376,5,0,1,1,1,0,-11.0,0.7587
377,19,0,2,2,1,0,-10.5,0.7579
378,10,0,1,1,1,0,-13.0,0.7572
379,22,0,2,2,1,0,-18.5,0.7564
380,6,0,1,1,1,0,-12.0,0.7557
381,35,0,3,2,1,0,-11.5,0.7549
382,21,0,2,2,1,0,-11.0,0.7542
383,9,0,1,1,1,0,-16.0,0.7534
384,19,0,2,2,1,0,-14.0,0.7527
385,5,0,1,1,1,0,-11.5,0.7519
386,6,0,1,1,1,0,-12.0,0.7512
387,5,0,1,1,1,0,-11.5,0.7504
388,6,0,1,1,1,0,-9.5,0.7497
389,28,0,3,2,1,0,-18.0,0.7489
390,19,0,2,2,1,0,-12.5,0.7482
391,7,0,1,1,1,0,-10.5,0.7474
392,8,0,1,1,1,0,-11.5,0.7467
393,12,0,1,0,1,0,-13.0,0.7459
394,24,0,2,2,1,0,-18.5,0.7452
395,7,0,1,1,1,0,-8.0,0.7444
396,25,0,2,1,1,0,-8.5,0.7437
397,7,0,1,1,1,0,-11.0,0.7429
398,5,0,1,1,1,0,-11.5,0.7422
399,25,0,2,1,1,0,-14.0,0.7414
400,9,0,1,1,1,0,-14.0,0.7407
401,7,0,1,1,1,0,-10.5,0.74
402,26,0,2,2,1,0,-15.0,0.7392
403,7,0,1,1,1,0,-13.0,0.7385
404,7,0,1,1,1,0,-11.0,0.7377
405,20,0,2,2,1,0,-18.0,0.737
406,20,0,1,1,1,0,-14.0,0.7363
407,10,0,1,1,1,0,-12.5,0.7355
408,6,0,1,1,1,0,-9.5,0.7348
409,7,0,1,1,1,0,-10.0,0.7341
410,10,0,1,1,1,0,-13.0,0.7333
411,8,0,1,1,1,0,-11.5,0.7326
412,22,0,1,1,1,0,-14.5,0.7319
413,12,0,1,1,1,0,-14.0,0.7311
414,18,0,2,1,1,0,-16.5,0.7304
415,21,0,2,1,1,0,-13.5,0.7297
416,23,0,3,3,1,0,-12.0,0.7289
417,10,0,1,1,1,0,-11.5,0.7282
418,11,0,1,1,1,0,-13.5,0.7275
419,16,0,2,2,1,0,-11.0,0.7268
420,9,0,1,1,1,0,-11.0,0.726
421,5,0,1,1,1,0,-11.5,0.7253
422,11,0,1,1,1,0,-15.0,0.7246
423,14,0,2,2,1,0,-11.5,0.7239
424,14,0,1,1,1,0,-13.5,0.7231
425,6,0,1,1,1,0,-12.5,0.7224
426,6,0,1,1,1,0,-9.5,0.7217
427,8,0,1,1,1,0,-12.5,0.721
428,5,0,1,1,1,0,-10.5,0.7202
429,6,0,1,1,1,0,-11.5,0.7195
430,12,0,1,0,1,0,-15.0,0.7188
431,28,1,3,3,1,0,2.5,0.7181
432,5,0,1,1,1,0,-11.0,0.7174
433,5,0,1,1,1,0,-11.5,0.7167
434,22,0,2,2,1,0,-12.0,0.7159
435,16,0,2,2,1,0,-13.0,0.7152
436,7,0,1,1,1,0,-9.5,0.7145
437,9,0,1,1,1,0,-13.0,0.7138
438,29,0,2,2,1,0,-22.5,0.7131
439,9,0,1,1,1,0,-10.5,0.7124
440,9,0,1,1,1,0,-12.5,0.7116
441,11,0,1,1,1,0,-15.0,0.7109
442,16,0,2,2,1,0,-11.5,0.7102
443,5,0,1,1,1,0,-11.0,0.7095
444,7,0,1,1,1,0,-12.0,0.7088
445,10,0,1,1,1,0,-11.5,0.7081
446,15,0,1,1,1,0,-14.5,0.7074
447,5,0,1,1,1,0,-11.5,0.7067
448,13,0,1,1,1,0,-13.0,0.706
449,5,0,1,1,1,0,-9.5,0.7053
450,7,0,1,1,1,0,-11.0,0.7046
451,6,0,1,1,1,0,-9.5,0.7039
452,7,0,1,1,1,0,-10.5,0.7032
453,5,0,1,1,1,0,-9.5,0.7025
454,14,0,2,2,1,0,-15.0,0.7018
455,29,0,3,3,1,0,-16.5,0.701
456,5,0,1,1,1,0,-12.0,0.7003
457,5,0,1,1,1,0,-11.5,0.6996
458,5,0,1,1,1,0,-11.5,0.6989
459,16,0,1,1,1,0,-15.5,0.6982
460,5,0,1,1,1,0,-11.5,0.6976
461,5,0,1,1,1,0,-11.0,0.6969
462,32,1,3,3,1,0,5.0,0.6962
463,27,1,3,3,1,0,1.5,0.6955
464,38,0,3,3,1,0,-21.5,0.6948
465,16,0,2,2,1,0,-15.0,0.6941
466,6,0,1,1,1,0,-10.0,0.6934
467,25,0,3,2,1,0,-18.0,0.6927
468,16,0,2,2,1,0,-14.5,0.692
469,6,0,1,1,1,0,-12.0,0.6913
470,8,0,1,1,1,0,-12.0,0.6906
471,15,0,1,1,1,0,-17.0,0.6899
472,18,0,1,1,1,0,-12.0,0.6892
473,6,0,1,1,1,0,-12.5,0.6885
474,8,0,1,1,1,0,-10.0,0.6878
475,22,0,1,1,1,0,-16.5,0.6872
476,5,0,1,1,1,0,-8.5,0.6865
477,7,0,1,1,1,0,-11.0,0.6858
478,13,0,1,1,1,0,-13.0,0.6851
479,5,0,1,1,1,0,-10.5,0.6844
480,5,0,1,1,1,0,-11.5,0.6837
481,8,0,1,1,1,0,-11.5,0.683
482,8,0,1,1,1,0,-10.0,0.6824
483,6,0,1,1,1,0,-12.0,0.6817
484,7,0,1,1,1,0,-11.0,0.681
485,9,0,1,1,1,0,-13.0,0.6803
486,6,0,1,1,1,0,-12.0,0.6796
487,12,0,2,2,1,0,-12.0,0.679
488,8,0,1,1,1,0,-13.0,0.6783
489,11,0,1,1,1,0,-13.5,0.6776
490,6,0,1,1,1,0,-10.0,0.6769
491,8,0,1,1,1,0,-9.5,0.6762
492,14,0,1,1,1,0,-12.5,0.6756
493,28,0,3,3,1,0,-11.5,0.6749
494,9,0,1,1,1,0,-12.0,0.6742
495,7,0,1,1,1,0,-11.0,0.6735
496,7,0,1,1,1,0,-10.5,0.6729
497,7,0,1,1,1,0,-14.0,0.6722
498,16,0,2,2,1,0,-15.5,0.6715
499,15,0,1,1,1,0,-13.5,0.6709
500,5,0,1,1,1,0,-10.0,0.6702
501,7,0,1,1,1,0,-9.5,0.6695
502,9,0,1,1,1,0,-13.5,0.6688
503,6,0,1,1,1,0,-12.0,0.6682
504,15,0,1,1,1,0,-15.0,0.6675
505,33,0,3,1,1,0,-19.5,0.6668
506,8,0,1,1,1,0,-8.5,0.6662
507,5,0,1,1,1,0,-11.5,0.6655
508,5,0,1,1,1,0,-11.5,0.6648
509,8,0,1,1,1,0,-14.0,0.6642
510,9,0,1,1,1,0,-13.0,0.6635
511,8,0,1,1,1,0,-12.0,0.6629
512,10,0,1,1,1,0,-14.0,0.6622
513,5,0,1,1,1,0,-12.0,0.6615
514,5,0,1,1,1,0,-11.5,0.6609
515,9,0,1,1,1,0,-9.0,0.6602
516,6,0,1,1,1,0,-11.5,0.6595
517,5,0,1,1,1,0,-11.0,0.6589
518,5,0,1,1,1,0,-11.5,0.6582
519,9,0,1,1,1,0,-13.0,0.6576
520,8,0,1,1,1,0,-11.5,0.6569
521,7,0,1,1,1,0,-10.5,0.6563
522,5,0,1,1,1,0,-10.5,0.6556
523,12,0,1,1,1,0,-15.0,0.6549
524,16,0,2,2,1,0,-10.5,0.6543
525,14,0,1,1,1,0,-14.5,0.6536
526,24,0,3,3,1,0,-13.0,0.653
527,13,0,1,1,1,0,-15.0,0.6523
528,5,0,1,1,1,0,-11.5,0.6517
529,16,0,1,1,1,0,-15.5,0.651
530,6,0,1,1,1,0,-11.5,0.6504
531,10,0,1,1,1,0,-13.5,0.6497
532,8,0,1,1,1,0,-12.5,0.6491
533,16,0,1,1,1,0,-16.0,0.6484
534,6,0,1,1,1,0,-10.5,0.6478
535,21,0,2,1,1,0,-14.0,0.6471
536,21,0,2,2,1,0,-14.5,0.6465
537,5,0,1,1,1,0,-11.0,0.6458
538,5,0,1,1,1,0,-11.0,0.6452
539,7,0,1,1,1,0,-10.5,0.6445
540,5,0,1,1,1,0,-11.0,0.6439
541,13,0,2,2,1,0,-13.0,0.6433
542,7,0,1,1,1,0,-11.0,0.6426
543,5,0,1,1,1,0,-9.0,0.642
544,12,0,1,1,1,0,-16.0,0.6413
545,6,0,1,1,1,0,-10.0,0.6407
546,13,0,1,1,1,0,-13.0,0.64
547,11,0,1,1,1,0,-15.5,0.6394
548,8,0,1,1,1,0,-12.0,0.6388
549,24,0,2,2,1,0,-22.5,0.6381
550,6,0,1,1,1,0,-12.0,0.6375
551,8,0,1,1,1,0,-12.0,0.6368
552,6,0,1,1,1,0,-11.5,0.6362
553,6,0,1,1,1,0,-13.0,0.6356
554,18,0,1,1,1,0,-14.5,0.6349
555,21,0,2,2,1,0,-17.5,0.6343
556,7,0,1,1,1,0,-10.5,0.6337
557,34,0,2,2,1,0,-19.5,0.633
558,5,0,1,1,1,0,-11.0,0.6324
559,10,0,1,1,1,0,-13.0,0.6318
560,9,0,1,1,1,0,-13.5,0.6311
561,14,0,1,1,1,0,-12.5,0.6305
562,35,1,3,3,1,0,3.5,0.6299
563,11,0,1,1,1,0,-13.0,0.6292
564,8,0,1,1,1,0,-12.0,0.6286
565,7,0,1,1,1,0,-10.5,0.628
566,8,0,1,1,1,0,-12.0,0.6274
567,20,0,1,1,1,0,-21.0,0.6267
568,11,0,1,1,1,0,-10.0,0.6261
569,7,0,1,1,1,0,-13.5,0.6255
570,5,0,1,1,1,0,-11.0,0.6249
571,13,0,1,1,1,0,-15.0,0.6242
572,6,0,1,1,1,0,-12.0,0.6236
573,8,0,1,1,1,0,-11.5,0.623
574,6,0,1,1,1,0,-9.5,0.6224
575,11,0,1,1,1,0,-14.5,0.6217
576,8,0,1,1,1,0,-11.5,0.6211
577,28,1,2,2,1,0,-3.0,0.6205
578,7,0,1,1,1,0,-13.0,0.6199
579,35,0,3,3,1,0,-16.5,0.6193
580,8,0,1,1,1,0,-10.0,0.6186
